name,value
"The Laramar Group, LLC",278624912
Clarion Partners,74500000
Loyola University Chicago,9500000
Waterton Associates LLC,116494831
RREEF Management LLC,146710000
CLK Properties,133949000
Barings Real Estate Advisers LLC,57500000
PGIM Real Estate,319112270
JPMorgan Chase & Co. Investment Management,172475000
Fifield Capital Partners,29788000
Castle Lanterra Properties,28500000
"JMG Realty, Inc.",41500000
"PNC Financial Services Group, Inc.",19000000
Golub & Company,253300000
"Focus Development, Inc.",11197050
"FPA Multifamily, LLC",48250000
"Pioneer Acquisitions, LLC",169427649
EquiShares Real Estate Company,23742500
"CA Ventures, LLC",28950000
Strategic Properties of North America,86500000
Vestian Group Inc.,14125000
The Scion Group LLC,125723155
CIM Group LP,57750000
"Capital Realty Group, Inc",22750000
American Realty Advisors,99600000
"L&B Realty Advisors, LLP",200000000
"MetLife, Inc.",239000000
UBS Group,12200000
"Magellan Development Group, Ltd.",164076000
Monogram Residential Trust,88000000
"Canyon Capital Realty Advisors, LLC",159850000
Village Green,68255500
Crescent Heights,363180180
Onni Group,50000000
"Time Equities, Inc.",6300000
The Bascom Group,40475000
Heitman,328225000
Gerding Edlen,109000000
Harrison Street Capital,105150000
Morguard North American Residential REIT,222500000
Invesco,240312000
AXA Investment Managers,201000000
Alcion Ventures,37000000
The Carlyle Group,33600000
The Related Companies,106300000
Berkshire Group,114000000
"GID Investment Advisers, LLC",85000000
"Hartz Mountain Industries, Inc.",240000000
The Habitat Company,84634000
Canada Pension Plan Investment Board,62832000
"Angelo, Gordon & Co.",117000000
LaSalle Investment Management Inc.,227882282
Bixby Bridge Capital,23000000
Emmes Asset Management Company LLC / Vanbarton Group,74875000
Near South Side,68500000
West Loop,319397050
Edgewater,84831500
Uptown,125112331
Lincoln Park,444988418
Lake View,75108649
Bucktown,2700000
Albany Park,6200000
West Town,99950000
Sheffield & DePaul,7036000
Mount Greenwood,28500000
Kenwood,9042209
Hyde Park,147218462
West Ridge,15200000
Roseland,23742500
Logan Square,9663000
North Center,14125000
Irving Park,7475000
Humboldt Park,2050000
Wicker Park,57750000
Riverdale,22750000
Rogers Park,114372978
River North,1239499500
Loop,1949678450
Streeterville,879256282
Rush & Division,226500000
Lincoln Square,47869000
Boystown,50500000
Avondale,7100000
Old Town,86500000
